REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
SURORIENTE;ORIENTAL;491;PUENTE NACIONAL;1/01/2018;2,5;1;24;11;1;14;4;1;1;12;14;19;;101;1;1;PEQUEÑA;1;0;2018;Trim.1;40,4
SURORIENTE;ORIENTAL;488;SAN FRANCISCO - ZN ORIENTAL;1/01/2018;2,5;1;18;37;;23;7;2;;21;6;20;2;136;1;1;PEQUEÑA;1;0;2018;Trim.1;54,4
SURORIENTE;ORIENTAL;520;SAN GIL;1/01/2018;5,5;1;2;25;;43;7;;;27;11;20;;135;3;2;GRANDE;0;0;2018;Trim.1;24,5
SURORIENTE;ORIENTAL;492;SANTANA;1/01/2018;2;0;7;8;1;4;1;;7;;6;;1;35;1;1;PEQUEÑA;1;1;2018;Trim.1;17,5
SURORIENTE;ORIENTAL;530;SOCORRO;1/01/2018;4,5;1;8;19;;35;11;1;1;20;5;14;1;115;2;2;MEDIANA;0;0;2018;Trim.1;25,6
SURORIENTE;ORIENTAL;451;TONCHALA;1/01/2018;4,5;1;1;43;;60;6;;1;30;1;24;;166;2;2;GRANDE;1;0;2018;Trim.1;36,9
SURORIENTE;ORIENTAL;540;VELEZ;1/01/2018;3,5;1;3;10;;20;4;;2;16;5;18;;78;2;1;MEDIANA;1;1;2018;Trim.1;22,3
OCCIDENTE;CALI;605;ALAMEDA;1/01/2018;2,5;1;14;34;;25;10;;;8;11;21;1;124;1;1;PEQUEÑA;1;0;2018;Trim.1;49,6
OCCIDENTE;CALI;564;AVENIDA URIBE;1/01/2018;6,5;1;36;33;;74;21;1;1;36;9;91;;302;3;3;MEDIANA;1;0;2018;Trim.1;46,5
OCCIDENTE;CALI;560;CALI;1/01/2018;11,5;1;88;228;;91;6;2;13;59;36;139;;662;7;4;MUY GRANDE;0;0;2018;Trim.1;57,6
OCCIDENTE;CALI;574;CHIPICHAPE;1/01/2018;5,5;1;17;121;;52;21;1;;38;20;29;3;302;3;2;GRANDE;1;0;2018;Trim.1;54,9
